workers,cores,runs,time_mean_s,bab_nodes_mean,speedup,relative_cores,amdahl_estimated_serial_fraction_f,amdahl_max_speedup_1_over_f
7,8,1,1234.405244977,17757.0,1.0,1.0,0.0059480046692961756,168.12360709164162
15,16,1,592.235753145,17811.0,2.0843139550792613,2.0,0.0059480046692961756,168.12360709164162
63,64,1,147.406386082,17761.0,8.374163954405057,8.0,0.0059480046692961756,168.12360709164162
127,128,1,75.849919895,17729.0,16.274311781552342,16.0,0.0059480046692961756,168.12360709164162
255,256,1,46.394309808,17813.0,26.60682420075889,32.0,0.0059480046692961756,168.12360709164162
511,512,1,28.819228965,17735.0,42.83269502026388,64.0,0.0059480046692961756,168.12360709164162
1023,1024,1,16.589058939,17829.0,74.41080591226175,128.0,0.0059480046692961756,168.12360709164162
