workers,cores,runs,time_mean_s,time_std_s,time_min_s,time_max_s,bab_nodes_mean,bab_nodes_std,speedup,ideal_speedup,efficiency,bab_nodes_per_second
7,8,1,1234.405244977,,1234.405244977,1234.405244977,17757.0,,1.0,1.0,1.0,14.385065254912181
15,16,1,592.235753145,,592.235753145,592.235753145,17811.0,,2.0843139550792613,2.0,1.0421569775396307,30.07417216103001
63,64,1,147.406386082,,147.406386082,147.406386082,17761.0,,8.374163954405057,8.0,1.0467704943006322,120.49003080585543
127,128,1,75.849919895,,75.849919895,75.849919895,17729.0,,16.274311781552342,16.0,1.0171444863470214,233.7378869291158
255,256,1,46.394309808,,46.394309808,46.394309808,17813.0,,26.60682420075889,32.0,0.8314632562737153,383.9479469296559
511,512,1,28.819228965,,28.819228965,28.819228965,17735.0,,42.83269502026388,64.0,0.6692608596916231,615.3877337085794
1023,1024,1,16.589058939,,16.589058939,16.589058939,17829.0,,74.41080591226175,128.0,0.5813344211895449,1074.7445087487731
