workers,cores,runs,time_mean_s,time_std_s,time_min_s,time_max_s,bab_nodes_mean,bab_nodes_std,speedup,ideal_speedup,efficiency,bab_nodes_per_second
3,4,1,1897.596487464,,1897.596487464,1897.596487464,17781.0,,1.0,1.0,1.0,9.370274511712982
7,8,1,1095.912694693,,1095.912694693,1095.912694693,17783.0,,1.7315215862113695,2.0,0.8657607931056848,16.226657548648603
15,16,1,589.896755054,,589.896755054,589.896755054,17811.0,,3.2168281503604663,4.0,0.8042070375901166,30.193419182937454
31,32,1,253.53202207,,253.53202207,253.53202207,17795.0,,7.48464226321705,8.0,0.9355802829021312,70.18837247740963
63,64,1,141.176113171,,141.176113171,141.176113171,17735.0,,13.441342482389569,16.0,0.840083905149348,125.62323470769044
127,128,1,77.249786066,,77.249786066,77.249786066,17773.0,,24.564423852808446,32.0,0.7676382454002639,230.07183456553858
255,256,1,43.696715323,,43.696715323,43.696715323,17797.0,,43.426524704139254,64.0,0.6785394485021758,407.2846178127365
511,512,1,27.958047928,,27.958047928,27.958047928,17727.0,,67.87299643919546,128.0,0.5302577846812145,634.0571432473438
1023,1024,1,19.002206981,,19.002206981,19.002206981,17789.0,,99.86189969203977,256.0,0.39008554567203035,936.1544171046518
