workers,cores,runs,time_mean_s,bab_nodes_mean,speedup,relative_cores,karp_flatt_e,karp_flatt_slope_vs_cores
7,8,1,1234.405244977,17757.0,1.0,1.0,,2.68359186172233e-05
15,16,1,592.235753145,17811.0,2.0843139550792613,2.0,-0.04045165790585281,2.68359186172233e-05
63,64,1,147.406386082,17761.0,8.374163954405057,8.0,-0.006382964768479295,2.68359186172233e-05
127,128,1,75.849919895,17729.0,16.274311781552342,16.0,-0.0011237004887800625,2.68359186172233e-05
255,256,1,46.394309808,17813.0,26.60682420075889,32.0,0.006538676377385294,2.68359186172233e-05
511,512,1,28.819228965,17735.0,42.83269502026388,64.0,0.007844217315145946,2.68359186172233e-05
1023,1024,1,16.589058939,17829.0,74.41080591226175,128.0,0.005670710765701229,2.68359186172233e-05
