workers,cores,runs,time_mean_s,bab_nodes_mean,speedup,relative_cores,karp_flatt_e,karp_flatt_slope_vs_cores
3,4,1,2688.61,17759.0,1.0,1.0,,6.023534739256187e-05
7,8,1,1205.93,17773.0,2.229490932309504,2.0,-0.1029342299552557,6.023534739256187e-05
15,16,1,568.95,17789.0,4.725564636611302,4.0,-0.05118010173782487,6.023534739256187e-05
31,32,1,276.85,17743.0,9.711432183492866,8.0,-0.025175515547864076,6.023534739256187e-05
63,64,1,144.45,17743.0,18.61273797161648,16.0,-0.009358243354992616,6.023534739256187e-05
127,128,1,73.45,17749.0,36.60462899931927,32.0,-0.004057858893629053,6.023534739256187e-05
255,256,1,42.99,17821.0,62.54035822284252,64.0,0.0003704634536179473,6.023534739256187e-05
511,512,1,40.27,17755.0,66.76458902408741,128.0,0.007221921042419044,6.023534739256187e-05
1023,1024,1,29.48,17801.0,91.20115332428766,256.0,0.007086204103862692,6.023534739256187e-05
