workers,cores,runs,time_mean_s,bab_nodes_mean,speedup,relative_cores,karp_flatt_e,karp_flatt_slope_vs_cores
3,4,1,1897.596487464,17781.0,1.0,1.0,,-6.497024419493873e-05
7,8,1,1095.912694693,17783.0,1.7315215862113695,2.0,0.15505346045155033,-6.497024419493873e-05
15,16,1,589.896755054,17811.0,3.2168281503604663,4.0,0.08115363053631719,-6.497024419493873e-05
31,32,1,253.53202207,17795.0,7.48464226321705,8.0,0.009836479986217965,-6.497024419493873e-05
63,64,1,141.176113171,17735.0,13.441342482389569,16.0,0.012690485943958378,-6.497024419493873e-05
127,128,1,77.249786066,17773.0,24.564423852808446,32.0,0.009764417700489744,-6.497024419493873e-05
255,256,1,43.696715323,17797.0,43.426524704139254,64.0,0.007519899466032352,-6.497024419493873e-05
511,512,1,27.958047928,17727.0,67.87299643919546,128.0,0.006975395190395882,-6.497024419493873e-05
1023,1024,1,19.002206981,17789.0,99.86189969203977,256.0,0.006131530419567008,-6.497024419493873e-05
