,ranks,total_node_evals,mean_node_evals,min_node_evals,max_node_evals,node_eval_imbalance_ratio,mean_eval_time_s,min_eval_time_s,max_eval_time_s,time_imbalance_ratio
0,7,17756,2536.5714285714284,2499,2677,1.055361567920703,1202.218371268144,1179.2716203560024,1232.6042894249977,1.025274874251673
1,15,17810,1187.3333333333333,1121,1280,1.0780460415496913,573.5521260650668,562.1052034890005,584.2458391439988,1.018644710032369
2,63,17760,281.9047619047619,240,340,1.206081081081081,134.26474976620636,128.12446044299992,142.2591958300001,1.0595424046722193
3,127,17728,139.59055118110237,108,233,1.6691674187725631,65.74683352195275,61.34265992200004,72.76896960100001,1.106805692424755
4,255,17812,69.85098039215686,47,108,1.5461486638221424,33.68852540449804,28.99114592300003,42.004813818000045,1.246858190248708
5,511,17734,34.70450097847358,16,67,1.9305853163414908,16.61950512088454,12.54612157399999,24.079752073999995,1.448885023883214
6,1023,17828,17.42717497556207,5,48,2.7543190486874582,7.919059679469207,3.541413661,13.803874813000004,1.7431204425429006
