source,workers,cores,time_s,bab_nodes
new_solutions,3,4,1897.596487464,17781
new_solutions,7,8,1095.912694693,17783
new_solutions,15,16,589.896755054,17811
new_solutions,31,32,253.53202207,17795
new_solutions,63,64,141.176113171,17735
new_solutions,127,128,77.249786066,17773
new_solutions,255,256,43.696715323,17797
new_solutions,511,512,27.958047928,17727
new_solutions,1023,1024,19.002206981,17789
